Sentiment,Freq.,Percent,Cum.
       -1,2,0.20,0.20
    -.875,1,0.10,0.30
     -.75,1,0.10,0.40
-.7142857,1,0.10,0.50
    -.525,9,0.90,1.40
      -.5,5,0.50,1.90
-.4739583,1,0.10,2.00
     -.45,2,0.20,2.20
      -.4,1,0.10,2.30
    -.375,2,0.20,2.50
-.3666667,2,0.20,2.70
-.3555556,1,0.10,2.80
      -.3,4,0.40,3.20
-.2916667,1,0.10,3.30
-.2777778,1,0.10,3.40
 -.260101,1,0.10,3.50
     -.25,2,0.2,3.7
  -.24375,1,0.1,3.8
-.2222222,1,0.1,3.9
-.2083333,1,0.1,4
-.2047619,1,0.1,4.1
      -.2,9,0.9,5
   -.1875,2,0.2,5.2
-.1864583,1,0.1,5.3
-.1833333,63,6.3,11.6
  -.18125,1,0.1,11.7
    -.175,2,0.2,11.9
-.1666667,41,4.1,16
-.1597222,1,0.1,16.1
-.1555556,76,7.6,23.7
     -.15,2,0.2,23.9
-.1444445,1,0.1,24
    -.125,1,0.1,24.1
-.1071429,1,0.1,24.2
      -.1,4,0.4,24.6
-.0833333,3,0.3,24.9
-.0769231,1,0.1,25
-.0722222,10,1,26
-.0694444,1,0.1,26.1
   -.0625,1,0.1,26.2
-.0555556,6,0.6,26.8
-.0545455,1,0.1,26.9
-.0444444,1,0.1,27
-.0340909,1,0.1,27.1
-.0333333,7,0.7,27.8
-.0214286,4,0.4,28.2
-.0083333,1,0.1,28.3
        0,516,51.6,79.9
 .0083333,3,0.3,80.2
 .0166667,2,0.2,80.4
 .0231481,1,0.1,80.5
     .025,1,0.1,80.6
 .0266667,1,0.1,80.7
 .0277778,1,0.1,80.8
   .03125,2,0.2,81
 .0333333,2,0.2,81.2
    .0375,3,0.3,81.5
 .0428571,1,0.1,81.6
 .0444444,2,0.2,81.8
      .05,4,0.4,82.2
    .0625,1,0.1,82.3
 .0666667,1,0.1,82.4
 .0833333,3,0.3,82.7
    .0875,1,0.1,82.8
 .0962963,1,0.1,82.9
       .1,6,0.6,83.5
 .1083333,1,0.1,83.6
     .125,6,0.6,84.2
      .13,1,0.1,84.3
 .1333333,1,0.1,84.4
 .1363636,1,0.1,84.5
      .15,1,0.1,84.6
 .1666667,6,0.6,85.2
 .1704545,2,0.2,85.4
     .175,1,0.1,85.5
 .1777778,1,0.1,85.6
   .18125,1,0.1,85.7
       .2,9,0.9,86.6
 .2083333,1,0.1,86.7
 .2111111,1,0.1,86.8
 .2166667,1,0.1,86.9
     .225,4,0.4,87.3
  .234375,1,0.1,87.4
      .25,15,1.5,88.9
 .2645833,1,0.1,89
     .275,1,0.1,89.1
 .2857143,6,0.6,89.7
       .3,2,0.2,89.9
    .3125,1,0.1,90
     .325,1,0.1,90.1
      .35,5,0.5,90.6
 .3571429,1,0.1,90.7
     .375,3,0.3,91
 .3854167,1,0.1,91.1
       .4,37,3.7,94.8
 .4298611,1,0.1,94.9
 .4333333,1,0.1,95
      .45,2,0.2,95.2
 .4666667,1,0.1,95.3
       .5,25,2.5,97.8
       .6,2,0.2,98
     .625,2,0.2,98.2
       .7,2,0.2,98.4
      .75,6,0.6,99
      .85,6,0.6,99.6
     .875,1,0.1,99.7
        1,3,0.3,100
