Sentiment,Freq.,Percent,Cum.,SUM,Sentiment,SUM
-1,2,0.2,0.2,0.3,-1 ² x < -0.8,0.3
-0.875,1,0.1,0.3,0.2,-0.8 ² x < -0.6,0.2
-0.75,1,0.1,0.4,1.7,-0.6 ² x < -0.4,1.7
-0.7142857,1,0.1,0.5,1.9,-0.4 ² x < -0.2,1.9
-0.525,9,0.9,1.4,24.2,-0.2 ² x < 0,24.2
-0.5,5,0.5,1.9,51.6,0,51.6
-0.4739583,1,0.1,2,5.8,0 < x < 0.2,5.8
-0.45,2,0.2,2.2,5.4,0.2 ² x < 0.4,5.4
-0.4,1,0.1,2.3,6.7,0.4 ² x < 0.6,6.7
-0.375,2,0.2,2.5,1.2,0.6 ² x < 0.8,1.2
-0.3666667,2,0.2,2.7,1,0.8 ² x ² 1,1
-0.3555556,1,0.1,2.8,,,
-0.3,4,0.4,3.2,,,
-0.2916667,1,0.1,3.3,,,
-0.2777778,1,0.1,3.4,,,
-0.260101,1,0.1,3.5,,,
-0.25,2,0.2,3.7,,,
-0.24375,1,0.1,3.8,,,
-0.2222222,1,0.1,3.9,,,
-0.2083333,1,0.1,4,,,
-0.2047619,1,0.1,4.1,,,
-0.2,9,0.9,5,,,
-0.1875,2,0.2,5.2,,,
-0.1864583,1,0.1,5.3,,,
-0.1833333,63,6.3,11.6,,,
-0.18125,1,0.1,11.7,,,
-0.175,2,0.2,11.9,,,
-0.1666667,41,4.1,16,,,
-0.1597222,1,0.1,16.1,,,
-0.1555556,76,7.6,23.7,,,
-0.15,2,0.2,23.9,,,
-0.1444445,1,0.1,24,,,
-0.125,1,0.1,24.1,,,
-0.1071429,1,0.1,24.2,,,
-0.1,4,0.4,24.6,,,
-0.0833333,3,0.3,24.9,,,
-0.0769231,1,0.1,25,,,
-0.0722222,10,1,26,,,
-0.0694444,1,0.1,26.1,,,
-0.0625,1,0.1,26.2,,,
-0.0555556,6,0.6,26.8,,,
-0.0545455,1,0.1,26.9,,,
-0.0444444,1,0.1,27,,,
-0.0340909,1,0.1,27.1,,,
-0.0333333,7,0.7,27.8,,,
-0.0214286,4,0.4,28.2,,,
-0.0083333,1,0.1,28.3,,,
0,516,51.6,79.9,,,
0.0083333,3,0.3,80.2,,,
0.0166667,2,0.2,80.4,,,
0.0231481,1,0.1,80.5,,,
0.025,1,0.1,80.6,,,
0.0266667,1,0.1,80.7,,,
0.0277778,1,0.1,80.8,,,
0.03125,2,0.2,81,,,
0.0333333,2,0.2,81.2,,,
0.0375,3,0.3,81.5,,,
0.0428571,1,0.1,81.6,,,
0.0444444,2,0.2,81.8,,,
0.05,4,0.4,82.2,,,
0.0625,1,0.1,82.3,,,
0.0666667,1,0.1,82.4,,,
0.0833333,3,0.3,82.7,,,
0.0875,1,0.1,82.8,,,
0.0962963,1,0.1,82.9,,,
0.1,6,0.6,83.5,,,
0.1083333,1,0.1,83.6,,,
0.125,6,0.6,84.2,,,
0.13,1,0.1,84.3,,,
0.1333333,1,0.1,84.4,,,
0.1363636,1,0.1,84.5,,,
0.15,1,0.1,84.6,,,
0.1666667,6,0.6,85.2,,,
0.1704545,2,0.2,85.4,,,
0.175,1,0.1,85.5,,,
0.1777778,1,0.1,85.6,,,
0.18125,1,0.1,85.7,,,
0.2,9,0.9,86.6,,,
0.2083333,1,0.1,86.7,,,
0.2111111,1,0.1,86.8,,,
0.2166667,1,0.1,86.9,,,
0.225,4,0.4,87.3,,,
0.234375,1,0.1,87.4,,,
0.25,15,1.5,88.9,,,
0.2645833,1,0.1,89,,,
0.275,1,0.1,89.1,,,
0.2857143,6,0.6,89.7,,,
0.3,2,0.2,89.9,,,
0.3125,1,0.1,90,,,
0.325,1,0.1,90.1,,,
0.35,5,0.5,90.6,,,
0.3571429,1,0.1,90.7,,,
0.375,3,0.3,91,,,
0.3854167,1,0.1,91.1,,,
0.4,37,3.7,94.8,,,
0.4298611,1,0.1,94.9,,,
0.4333333,1,0.1,95,,,
0.45,2,0.2,95.2,,,
0.4666667,1,0.1,95.3,,,
0.5,25,2.5,97.8,,,
0.6,2,0.2,98,,,
0.625,2,0.2,98.2,,,
0.7,2,0.2,98.4,,,
0.75,6,0.6,99,,,
0.85,6,0.6,99.6,,,
0.875,1,0.1,99.7,,,
1,3,0.3,100,,,
,1000,,,,,
