City,All People Killed by Police (1/1/2013-12/31/2020),Black People Killed by Police (1/1/2013-12/31/2020),Hispanic People Killed by Police (1/1/2013-12/31/2020),White People Killed by Police (1/1/2013-12/31/2020),Avg Annual Police Homicide Rate,Average Violent Crimes Reported 2013-19,Violent Crime Rate,Killings by Police per 10k Arrests
Albuquerque,42,3,25,12,8.3,6424.8,11.5,19.2
Anaheim,16,3,9,4,5.1,1189.6,3.4,18.2
Anchorage,16,1,1,6,6.0,3266.5,11.0,11.7
Arlington,16,7,2,5,4.5,1972.7,5.0,14.2
Atlanta,24,20,,2,5.6,4265.6,8.9,10.0
Aurora,20,8,3,6,6.1,2214.8,6.1,12.3
Austin,35,6,9,19,4.2,3810.0,4.1,12.5
Bakersfield,33,3,21,7,9.8,1832.6,4.9,19.8
Baltimore,38,32,1,4,6.9,10100.8,16.4,12.1
Baton Rouge,11,11,,,5.4,2118.6,9.4,9.1
Birmingham,12,7,1,4,6.3,2963.8,14.0,41.6
Boston,15,12,1,1,2.5,4593.4,6.8,16.2
Buffalo,3,1,2,,1.3,2824.4,11.0,3.1
Chandler,8,,5,3,3.6,559.9,2.3,12.9
Charlotte,23,13,2,5,3.0,6304.8,7.5,10.2
Chesapeake,2,2,,,0.9,964.0,4.1,3.7
Chicago,89,64,20,3,3.6,26748.0,9.8,11.6
Chula Vista,3,,2,1,1.3,758.9,2.8,7.6
Cincinnati,12,8,1,3,4.4,2706.8,9.0,18.6
Cleveland,11,10,,1,3.2,5840.4,15.1,22.4
Colorado Springs,25,5,4,12,6.1,2377.9,5.2,12.8
Columbus,48,35,,12,6.1,4154.4,4.8,49.4
Corpus Christi,14,2,9,3,4.8,2330.5,7.2,8.8
Dallas,42,17,11,13,3.5,9995.6,7.6,14.0
Washington,26,21,,1,4.2,7300.8,10.7,14.6
Denver,43,6,18,12,6.9,4886.3,7.0,15.3
Detroit,25,16,1,1,4.1,13544.5,20.0,21.5
Durham,7,5,1,1,2.9,2128.3,8.1,15.1
El Paso,19,2,8,7,3.1,2517.9,3.7,11.5
Fort Wayne,9,5,1,3,3.8,983.0,3.7,16.8
Fort Worth,29,10,5,8,3.8,4640.3,5.4,14.2
Fremont,11,2,1,2,5.2,381.8,1.6,46.5
Fresno,28,1,18,5,6.0,2869.5,5.5,12.8
Garland,9,2,1,3,4.2,684.3,2.9,12.8
Glendale,16,2,7,7,7.2,951.0,3.9,39.0
Greensboro,5,2,1,1,1.9,1929.2,6.7,4.3
Henderson,12,2,3,5,4.6,534.3,1.8,11.8
Hialeah,6,1,2,1,2.8,607.4,2.6,8.9
Honolulu,27,1,4,4,3.0,2618.0,2.7,14.2
Houston,87,44,30,9,4.2,24170.8,10.5,17.8
Indianapolis,32,20,,11,4.1,9362.3,10.9,9.3
Irvine,0,,,,0.0,149.8,0.6,0.0
Irving,9,2,3,3,4.2,561.0,2.4,15.8
Jacksonville,50,25,2,20,6.3,5542.3,6.3,
Jersey City,8,8,,,3.4,1356.6,5.2,14.4
Kansas City Missouri,40,23,1,9,9.2,7196.5,14.9,35.4
Laredo,10,,9,1,4.3,917.6,3.6,16.0
Las Vegas,78,17,17,35,4.0,11245.3,5.3,10.9
Lexington,3,1,,2,1.0,1029.1,3.2,2.1
Lincoln,2,1,,1,0.8,1014.4,3.6,1.5
Long Beach,29,7,11,6,6.9,2669.9,5.7,21.0
Los Angeles,150,29,90,23,4.2,26072.9,6.6,20.8
Louisville,28,14,,11,5.0,4473.5,7.3,7.2
Lubbock,6,1,4,,2.7,2439.9,9.7,8.1
