state,totalpopulation,blackpopulation,whitepopulation,blackpeoplekilled,peoplekilled,rateblackpeople,ratehispanicpeople,rateasianpeople,ratewhitepeople,blackwhitedisparity,id,Peoplekilled/pop,Blackpeoplekilled/pop
Alabama,"4,864,680","1,285,737","3,196,730",70,184,6.0500002,1.09,1.74,0.34999999,17.4,1,3.782365952,5.444348261
Alaska,"738,516","22,817","450,754",4,57,19.48,2.1700001,0,1.73,11.29,2,7.718180784,17.53078845
Arizona,"6,946,685","286,614","3,825,886",42,431,16.280001,7.6500001,0,1.42,11.44,4,6.204398213,14.65385501
Arkansas,"2,990,671","458,536","2,173,849",37,130,8.9700003,1.52,5.1199999,0.56,15.95,5,4.34685059,8.069159237
California,"39,148,760","2,164,519","14,695,836",226,1504,11.6,4.6599998,1.0700001,1.16,10.03,6,3.841756418,10.44111879
Colorado,"5,531,141","216,732","3,778,212",30,314,15.38,8.6300001,2.6199999,1.0599999,14.53,8,5.676948029,13.84197996
Connecticut,"3,581,504","351,817","2,418,696",10,43,3.1600001,1.78,0.70999998,0.14,22.92,9,1.200612927,2.842386809
Delaware,"949,495","204,665","595,623",11,24,5.9699998,1.29,0,0.56,10.67,10,2.52765944,5.374636601
District of Columbia,"684,498","315,281","248,057",29,34,10.22,0,0,1.34,7.6100001,11,4.967143805,9.198143878
Florida,"20,598,139","3,167,011","11,196,857",214,689,7.5100002,2.0999999,1.42,0.66000003,11.29,12,3.344962377,6.757159985
Georgia,"10,297,484","3,195,363","5,476,441",144,367,5.0100002,2.52,0.82999998,1.14,4.4099998,13,3.563977375,4.506530244
Hawaii,"1,422,029","24,472","314,536",2,46,9.0799999,3.75,0.85000002,0.70999998,12.85,15,3.23481448,8.172605427
Idaho,"1,687,809","10,739","1,387,654",1,71,10.35,3.72,0,0.63999999,16.15,16,4.206637125,9.31185399
Illinois,"12,821,497","1,796,057","7,894,286",118,225,7.3000002,1.48,0.16,0.2,37.049999,17,1.754865286,6.56994739
Indiana,"6,637,426","610,343","5,275,162",52,171,9.4700003,1.73,0,0.27000001,34.57,18,2.576299909,8.519799523
Iowa,"3,132,499","107,471","2,695,888",8,60,8.2700005,1.21,0,0.28999999,28.67,19,1.915403644,7.443868579
Kansas,"2,908,776","163,713","2,214,543",13,91,8.8199997,3.5899999,0,0.25,35.169998,20,3.128463656,7.940725538
Kentucky,"4,440,204","349,407","3,764,082",24,163,7.6300001,2.0999999,1.78,0.64999998,11.75,21,3.671002503,6.868780534
Louisiana,"4,663,616","1,492,230","2,744,265",101,196,7.52,4.2600002,5.6199999,0.73000002,10.32,22,4.202747396,6.768393612
Maine,"1,332,813","16,990","1,244,525",1,41,6.54,5.1900001,0,0.27000001,24.42,23,3.076200487,5.885815185
Maryland,"6,003,435","1,759,438","3,084,868",102,164,6.4400001,1.89,0.30000001,0.31999999,19.870001,24,2.731769395,5.797305731
Massachusetts,"6,830,193","463,796","4,930,412",20,72,4.79,1.55,0.5,0.090000004,53.150002,25,1.05414298,4.312240727
Michigan,"9,957,488","1,360,345","7,489,371",57,165,4.6599998,0.88999999,0.73000002,0.31,14.94,26,1.657044427,4.190113537
Minnesota,"5,527,358","336,505","4,438,071",23,107,7.5900002,2.28,2.98,0.050000001,151.67,27,1.935825398,6.834965305
Mississippi,"2,988,762","1,121,752","1,696,952",55,144,5.4499998,1.23,3.9400001,1.5700001,3.47,28,4.818048409,4.903044523
Missouri,"6,090,062","699,730","4,848,330",86,261,13.66,3.5699999,0,0.94,14.53,29,4.285670655,12.29045489
Montana,"1,041,732","4,348","898,953",2,57,51.110001,2.8499999,0,0.99000001,51.689999,30,5.471656818,45.99816007
