University,Type,Value
University College London,EU,4930.00
University College London,Non-EU,13060.00
University College London,Total,17990.00
The University of Manchester,EU,2785.00
The University of Manchester,Non-EU,10965.00
The University of Manchester,Total,13750.00
The University of Edinburgh,EU,3725.00
The University of Edinburgh,Non-EU,8300.00
The University of Edinburgh,Total,12025.00
King's College London,EU,4080.00
King's College London,Non-EU,7095.00
King's College London,Total,11175.00
The University of Glasgow,EU,3175.00
The University of Glasgow,Non-EU,5640.00
The University of Glasgow,Total,8815.00
The University of Oxford,EU,2640.00
The University of Oxford,Non-EU,5570.00
The University of Oxford,Total,8210.00
The University of Cambridge,EU,2635.00
The University of Cambridge,Non-EU,4415.00
The University of Cambridge,Total,7050.00
The University of Westminster,EU,2285.00
The University of Westminster,Non-EU,4090.00
The University of Westminster,Total,6375.00
The University of Aberdeen,EU,2865.00
The University of Aberdeen,Non-EU,1915.00
The University of Aberdeen,Total,4780.00
The University of York,EU,890.00
The University of York,Non-EU,3185.00
The University of York,Total,4075.00
The University of Bristol,EU,1355.00
The University of Bristol,Non-EU,5805.00
The University of Bristol,Total,7165.00
The University of Bath,EU,1755.00
The University of Bath,Non-EU,3665.00
The University of Bath,Total,5420.00
