,Country,% of population in 2018,% of population in 2050
0,Austria,1.66,3.18
1,Belgium,1.69,2.95
2,Bulgaria,1.54,2.47
3,Croatia,1.60,3.06
4,Cyprus,1.17,2.44
5,Czech Republic,1.41,2.65
6,Denmark,1.51,2.65
7,Estonia,1.74,3.06
8,Finland,1.74,3.13
9,France,1.83,3.31
10,Germany,1.91,3.43
11,Greece,1.99,3.95
12,Hungary,1.49,2.64
13,Ireland,1.09,2.49
14,Italy,2.12,4.13
15,Latvia,1.74,3.17
16,Lithuania,1.74,3.67
17,Luxembourg,1.25,2.44
18,Malta,1.38,3.31
19,Netherlands,1.49,3.15
20,Poland,1.38,3.23
21,Portugal ,1.88,3.82
22,Romania,1.43,2.56
23,Slovakia,1.15,2.59
24,Slovenia,1.65,3.40
25,Spain,1.83,3.99
26,Sweden,1.66,2.63
27,United Kingdom,1.56,2.67
