Region,Year,Girls_outofschool
East Asia & Pacific,1986,12200000
East Asia & Pacific,1987,8470310
East Asia & Pacific,1988,7207412
East Asia & Pacific,1989,6035357
East Asia & Pacific,1990,6023212
East Asia & Pacific,1991,6058997
East Asia & Pacific,1992,6404643
East Asia & Pacific,1993,7001400
East Asia & Pacific,1994,7949268
East Asia & Pacific,1995,9252147
East Asia & Pacific,1996,10100000
East Asia & Pacific,1997,10700000
East Asia & Pacific,1998,8538407
East Asia & Pacific,1999,5919062
East Asia & Pacific,2000,5462485
East Asia & Pacific,2001,4848461
East Asia & Pacific,2002,4548013
East Asia & Pacific,2003,4438376
East Asia & Pacific,2004,4565647
East Asia & Pacific,2005,4564028
East Asia & Pacific,2006,5022966
East Asia & Pacific,2007,3873030
East Asia & Pacific,2008,3803657
East Asia & Pacific,2009,3413058
East Asia & Pacific,2010,3073691
East Asia & Pacific,2011,2647358
East Asia & Pacific,2012,2909704
East Asia & Pacific,2013,2960403
East Asia & Pacific,2014,3021218
East Asia & Pacific,2015,3061476
East Asia & Pacific,2016,3283119
East Asia & Pacific,2017,3182733
East Asia & Pacific,2018,3205055
East Asia & Pacific,2019,3319331
Europe & Central Asia,1986,1589635
Europe & Central Asia,1987,1499456
Europe & Central Asia,1988,1348061
Europe & Central Asia,1989,1396230
Europe & Central Asia,1990,1351895
Europe & Central Asia,1991,1252940
Europe & Central Asia,1992,1301653
Europe & Central Asia,1993,1418110
Europe & Central Asia,1994,1469302
Europe & Central Asia,1995,1510001
Europe & Central Asia,1996,1395959
Europe & Central Asia,1997,1400925
Europe & Central Asia,1998,1069909
Europe & Central Asia,1999,985367
Europe & Central Asia,2000,1020757
Europe & Central Asia,2001,895900
Europe & Central Asia,2002,819145
Europe & Central Asia,2003,755697
Europe & Central Asia,2004,739437
Europe & Central Asia,2005,802595
Europe & Central Asia,2006,808591
Europe & Central Asia,2007,760840
Europe & Central Asia,2008,632879
Europe & Central Asia,2009,675754
Europe & Central Asia,2010,590785
Europe & Central Asia,2011,560640
Europe & Central Asia,2012,557209
Europe & Central Asia,2013,486078
Europe & Central Asia,2014,534653
Europe & Central Asia,2015,477477
Europe & Central Asia,2016,469371
Europe & Central Asia,2017,480087
Europe & Central Asia,2018,510465
Europe & Central Asia,2019,522871
Middle East & North Africa,1986,4813547
Middle East & North Africa,1987,4756159
Middle East & North Africa,1988,4691548
Middle East & North Africa,1989,4811000
Middle East & North Africa,1990,4418985
Middle East & North Africa,1991,4377637
