state,id,Youth mental health ranking
Alabama,1.00,32.00
Alaska,2.00,49.00
Arizona,4.00,30.00
Arkansas,5.00,31.00
California,6.00,33.00
Colorado,8.00,34.00
Connecticut,9.00,13.00
Delaware,10.00,11.00
District of Columbia,11.00,1.00
Florida,12.00,36.00
Georgia,13.00,23.00
Hawaii,15.00,25.00
Idaho,16.00,46.00
Illinois,17.00,27.00
Indiana,18.00,19.00
Iowa,19.00,12.00
Kansas,20.00,37.00
Kentucky,21.00,16.00
Louisiana,22.00,21.00
Maine,23.00,22.00
Maryland,24.00,9.00
Massachusetts,25.00,5.00
Michigan,26.00,20.00
Minnesota,27.00,15.00
Mississippi,28.00,29.00
Missouri,29.00,26.00
Montana,30.00,45.00
Nebraska,31.00,35.00
Nevada,32.00,51.00
New Hampshire,33.00,8.00
New Jersey,34.00,10.00
New Mexico,35.00,42.00
New York,36.00,14.00
North Carolina,37.00,44.00
North Dakota,38.00,3.00
Ohio,39.00,18.00
Oklahoma,40.00,40.00
Oregon,41.00,47.00
Pennsylvania,42.00,2.00
Rhode Island,44.00,4.00
South Carolina,45.00,48.00
South Dakota,46.00,24.00
Tennessee,47.00,38.00
Texas,48.00,28.00
Utah,49.00,41.00
Vermont,50.00,7.00
Virginia,51.00,17.00
Washington,53.00,43.00
West Virginia,54.00,39.00
Wisconsin,55.00,6.00
Wyoming,56.00,50.00
