,university,overall score,entry standards,student satisfaction,research quality,graduate prospects
0,University of Oxford,100,96,n/a,83,90
1,University of Cambridge,99,99,n/a,83,90
2,London School of Economics and Poli...,96,85,80,84,91
3,University of St Andrews,95,100,86,78,80
4,Imperial College London,90,93,80,84,95
5,Durham University,89,88,80,78,85
6,Loughborough University,87,72,84,74,83
7,UCL (University College London),85,89,79,80,85
8,University of Warwick,84,78,81,81,84
9,University of Bath,84,81,81,79,88
